"0501110","Організація спеціальної підготовки кандидатів на посаду судді, підготовка суддів та працівників апарату судів Національною школою суддів України",27437600,27437600,14774500,760000,,,,,,,"27,437,600.00"
"0501150",Виконання рішень судів на користь суддів,10000000,10000000,,,,,,,,,"10,000,000.00"
"0501160",Здійснення правосуддя апеляційними адміністративними судами,176299500,176299500,123089600,8535900,,93030700,93030700,4792100,,,"269,330,200.00"
"0501170",Здійснення правосуддя місцевими адміністративними судами,246527600,246527600,180186800,,,72629400,72629400,12722500,13506000,,"319,157,000.00"
"0600000",Верховний Суд України,111669000,104969000,59283800,3101100,6700000,3710000,2634900,,,1075100,"115,379,000.00"
"0601000", Апарат Верховного Суду України,111669000,104969000,59283800,3101100,6700000,3710000,2634900,,,1075100,"115,379,000.00"
"0601010",Здійснення правосуддя Верховним Судом України,111669000,104969000,59283800,3101100,6700000,3710000,2634900,,,1075100,"115,379,000.00"
"0650000",Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,110348600,110348600,80308900,1121200,,10000000,7125900,,,2874100,"120,348,600.00"
"0651000",Апарат Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,110348600,110348600,80308900,1121200,,10000000,7125900,,,2874100,"120,348,600.00"
"0651010",Здійснення правосуддя Вищим спеціалізованим судом України з розгляду цивільних і кримінальних справ,110348600,110348600,80308900,1121200,,10000000,7125900,,,2874100,"120,348,600.00"
"0700000",Вищий господарський суд України,110380200,110380200,81761700,2193400,,33844500,10956200,,,22888300,"144,224,700.00"
"0701000",Вищий господарський суд України,110380200,110380200,81761700,2193400,,33844500,10956200,,,22888300,"144,224,700.00"
"0701010",Здійснення правосуддя Вищим господарським судом України,110380200,110380200,81761700,2193400,,33844500,10956200,,,22888300,"144,224,700.00"
"0750000",Вищий адміністративний суд України,106417000,101917000,69962300,1772900,4500000,2681000,2254500,,,426500,"109,098,000.00"
"0751000",Апарат Вищого адміністративного суду України,106417000,101917000,69962300,1772900,4500000,2681000,2254500,,,426500,"109,098,000.00"
"0751010",Здійснення правосуддя Вищим адміністративним судом України,106417000,101917000,69962300,1772900,4500000,2681000,2254500,,,426500,"109,098,000.00"
"0800000",Конституційний Суд України,64280600,64280600,43657000,2075100,,,,,,,"64,280,600.00"
"0801000", Конституційний Суд України,64280600,64280600,43657000,2075100,,,,,,,"64,280,600.00"
"0801010",Забезпечення конституційної юрисдикції в Україні,64280600,64280600,43657000,2075100,,,,,,,"64,280,600.00"
"0900000",Генеральна прокуратура України,3200529200,3183229200,2055174500,69887900,17300000,1065000,565000,,,500000,"3,201,594,200.00"
"0901000",Генеральна прокуратура України,3200529200,3183229200,2055174500,69887900,17300000,1065000,565000,,,500000,"3,201,594,200.00"
"0901010","Здійснення прокурорсько-слідчої діяльності, підготовка та підвищення кваліфікації кадрів прокуратури",3200529200,3183229200,2055174500,69887900,17300000,1065000,565000,,,500000,"3,201,594,200.00"
"1000000",Міністерство внутрішніх справ України,16554079600,16296025800,11068363800,718076400,258053800,2510243100,2406719600,333288600,51756000,103523500,"19,064,322,700.00"
"1001000",Апарат Міністерства внутрішніх справ України,11810722300,11762647300,8112738000,472266400,48075000,1717530600,1680704100,253592100,41907200,36826500,"13,528,252,900.00"
"1001010",Керівництво та управління діяльністю органів внутрішніх справ,322270000,322270000,238198000,9250100,,1889300,1889300,,,,"324,159,300.00"
"1001050","Забезпечення захисту прав і свобод громадян, суспільства і держави від протиправних посягань, охорона громадського порядку та протидія незаконній міграції",10529888600,10481813600,7295309200,376911800,48075000,1290535100,1276005100,62169100,17123800,14530000,"11,820,423,700.00"
"1001070",Участь органів внутрішніх справ у міжнародних миротворчих операціях,11237000,11237000,8974500,85600,,,,,,,"11,237,000.00"
"1001080",Підготовка кадрів для органів внутрішніх справ вищими закладами освіти III і IV рівнів акредитації,408575400,408575400,270034900,33811300,,281997000,268033900,156479100,14523500,13963100,"690,572,400.00"
"1001100","Медичне забезпечення працівників, осіб рядового і начальницького складу органів внутрішніх справ",456640000,456640000,268581000,45360100,,126047200,118008200,30658300,9853200,8039000,"582,687,200.00"
"1001130","Дошкільна освіта та заходи з позашкільної роботи з дітьми працівників,  осіб рядового та начальницького складу органів внутрішніх справ",58690300,58690300,28846600,6782300,,17062000,16767600,4285600,406700,294400,"75,752,300.00"
"1001170",Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією,3733900,3733900,2793800,65200,,,,,,,"3,733,900.00"
"1001200","Державна підтримка фізкультурно-спортивного товариства ""Динамо"" України на організацію та проведення роботи з розвитку фізичної культури і спорту серед працівників і військовослужбовців правоохоронних органів",19687100,19687100,,,,,,,,,"19,687,100.00"
"1002000",Адміністрація Державної прикордонної служби України,2697193100,2554781000,1667309000,103327200,142412100,84246400,48721600,10733900,6388700,35524800,"2,781,439,500.00"
"1002010",Керівництво та управління у сфері охорони державного кордону України,65934200,65934200,49599800,,,,,,,,"65,934,200.00"
"1002030",Матеріально-технічне забезпечення Державної прикордонної служби України та утримання її особового складу,2172484500,2158641500,1405888500,96562600,13843000,72934400,42067200,7221500,5561800,30867200,"2,245,418,900.00"
"1002060",Підготовка кадрів та підвищення кваліфікації Національною академією Державної прикордонної служби України,132464700,132295200,82755300,6764600,169500,7137800,6654400,3512400,826900,483400,"139,602,500.00"
"1002070",Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України,,,,,,2310300,,,,2310300,"2,310,300.00"
"1002080",Розвиток Державної прикордонної служби України,280000000,160000000,103000000,,120000000,,,,,,"280,000,000.00"
"1002100",Облаштування та реконструкція державного кордону,6712100,,,,6712100,,,,,,"6,712,100.00"
"1002110",Розвідувальна діяльність у сфері захисту державного кордону,39597600,37910100,26065400,,1687500,,,,,,"39,597,600.00"
"1002800","Будівництво, реконструкція та капітальний ремонт об'єктів Державної прикордонної служби України",,,,,,1863900,,,,1863900,"1,863,900.00"
"1003000",Головне управління внутрішніх військ Міністерства внутрішніх справ України,1359779100,1352212400,836880900,110079300,7566700,206866100,175693900,68962600,3460100,31172200,"1,566,645,200.00"
"1003010",Керівництво та управління внутрішніми військами,46674500,46674500,35979700,,,,,,,,"46,674,500.00"
"1003020","Участь внутрішніх військ в охороні громадського порядку та боротьбі із злочинністю, охорона арештованих, засуджених та охорона особливо важливих об'єктів",1202315100,1194748400,733032400,98237200,7566700,180003000,154701100,64154600,1329100,25301900,"1,382,318,100.00"
"1003070",Підготовка кадрів для внутрішніх військ МВС України вищими навчальними закладами ІІІ і ІV рівнів акредитації,90887400,90887400,57020700,8291100,,6547000,6207000,2628000,256000,340000,"97,434,400.00"
"1003080",Стаціонарне лікування військовослужбовців внутрішніх військ МВС України у власних медичних закладах,19902100,19902100,10848100,3551000,,20316100,14785800,2180000,1875000,5530300,"40,218,200.00"
"1004000",Державна міграційна служба України,686385100,626385100,451435900,32403500,60000000,501600000,501600000,,,,"1,187,985,100.00"
"1004010","Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб",30406100,30406100,19500800,515000,,,,,,,"30,406,100.00"
"1004020","Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб",255804000,255804000,151935100,31888500,,501600000,501600000,,,,"757,404,000.00"
"1004070",Внески до Міжнародної організації з міграції,175000,175000,,,,,,,,,"175,000.00"
"1004090",Створення та функціонування Єдиного державного демографічного реєстру,400000000,340000000,280000000,,60000000,,,,,,"400,000,000.00"
"1100000",Міністерство енергетики та вугільної промисловості України,15452840500,528114200,28248000,1089900,14924726300,3915138600,294028300,,906000,3621110300,"19,367,979,100.00"
"1101000",Апарат Міністерства енергетики та вугільної промисловості України,15452840500,528114200,28248000,1089900,14924726300,3915138600,294028300,,906000,3621110300,"19,367,979,100.00"
"1101010",Загальне керівництво та управління у сфері паливно-енергетичного комплексу та вугільної промисловості,40881400,40881400,27918000,1089900,,1540000,1540000,,906000,,"42,421,400.00"
"1101030","Прикладні наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням, підготовка наукових кадрів та фінансова підтримка розвитку наукової інфраструктури у сфері паливно-енергетичного комплексу й вугільної промисловості",17171200,,,,17171200,,,,,,"17,171,200.00"
"1101070",Реструктуризація вугільної та торфодобувної промисловості,1122800000,,,,1122800000,5300300,,,,5300300,"1,128,100,300.00"
"1101080",Поповнення статутного капіталу державного концерну «Ядерне паливо» з метою придбання Концерном акцій додаткової емісії ПрАТ «Завод з виробництва  ядерного палива»,20000000,,,,20000000,,,,,,"20,000,000.00"
"1101090",Підготовка фахівців для підприємств ядерно-промислового комплексу Севастопольським національним університетом ядерної енергії та промисловості,50918400,50918400,,,,9009700,8909700,,,100000,"59,928,100.00"
"1101100",Гірничорятувальні заходи на вугледобувних підприємствах,434238100,434238100,,,,,,,,,"434,238,100.00"
"1101110",Державна підтримка вугледобувних підприємств на часткове покриття витрат із собівартості готової товарної вугільної продукції ,13301847800,,,,13301847800,,,,,,"13,301,847,800.00"
"1101140",Фізичний захист ядерних установок та ядерних матеріалів,26529100,1415600,330000,,25113500,,,,,,"26,529,100.00"
"1101160","Заходи з охорони праці та підвищення техніки безпеки на вугледобувних підприємствах, а саме оснащення новітніми приладами контролю за параметрами шахтної атмосфери та засобами контролю параметрів дегазації",65000000,,,,65000000,,,,,,"65,000,000.00"
"1101190","Заходи з реалізації Державної цільової  екологічної програми  приведення в безпечний стан уранових об'єктів виробничого об'єднання ""Придніпровський хімічний завод""",8500000,,,,8500000,,,,,,"8,500,000.00"
"1101200","Державна підтримка будівництва вугле- та торфодобувних підприємств, технічне переоснащення зазначених підприємств",364293800,,,,364293800,2000000000,,,,2000000000,"2,364,293,800.00"
"1101440","Внесок України до Енергетичного Співтовариства",660700,660700,,,,,,,,,"660,700.00"
"1101470","Виконання боргових зобов'язань за кредитами, залученими під державні гарантії, з метою реалізації проектів соціально-економічного розвитку",,,,,,283578600,283578600,,,,"283,578,600.00"
"1101500",Збільшення статутного капіталу державного підприємства «Національна атомна енергогенеруюча компанія «Енергоатом» ,,,,,,1614000000,,,,1614000000,"1,614,000,000.00"
"1101630",Впровадження Програми реформування та розвитку енергетичного сектора ,,,,,,1710000,,,,1710000,"1,710,000.00"
"1200000",Міністерство економічного розвитку і торгівлі України,933893800,905881600,602925700,38699800,28012200,432099400,99836800,14614300,20102300,332262600,"1,365,993,200.00"
"1201000",Апарат Міністерства економічного розвитку і торгівлі України,188435500,170575400,101188100,4887600,17860100,2652600,144400,80800,,2508200,"191,088,100.00"
"1201010",Керівництво та управління у сфері економічного розвитку і торгівлі,146495800,146495800,100040200,4887600,,30000,30000,,,,"146,525,800.00"
"1201020",Внески України до бюджету СОТ та Єдиного бюджету органів СНД,12504600,12504600,,,,,,,,,"12,504,600.00"
"1201030","Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках",4606200,4606200,,,,,,,,,"4,606,200.00"
"1201070","Дослідження, прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням, підготовка наукових кадрів та фінансова підтримка розвитку наукової інфраструктури  у сфері економічного розвитку",12091400,206200,,,11885200,2506700,,,,2506700,"14,598,100.00"
"1201090",Підвищення кваліфікації державних службовців у сфері економіки та перепідготовка управлінських кадрів для сфери підприємництва,2976800,2976800,1147900,,,115900,114400,80800,,1500,"3,092,700.00"
"1201120",Фінансова підтримка видань з економічних питань і забезпечення функціонування веб-порталу з питань державних закупівель,3410800,3410800,,,,,,,,,"3,410,800.00"
"1201220","Збереження та функціонування національної еталонної бази, забезпечення функціонування державних служб,  прикладні наукові і науково-технічні розробки, виконання робіт за державними цільовими програмами і державним замовленням у сфері стандартизації, метрології та еталонної бази, гармонізація національних стандартів з міжнародними та європейськими",2365300,,,,2365300,,,,,,"2,365,300.00"
"1201380",Державний метрологічний нагляд,1097100,,,,1097100,,,,,,"1,097,100.00"
"1201390","Заходи щодо запобігання катастрофи техногенного характеру на державному підприємстві ""Горлівський хімічний завод""",2512500,,,,2512500,,,,,,"2,512,500.00"
"1201420",Забезпечення міжнародного співробітництва та участь у міжнародних виставках,375000,375000,,,,,,,,,"375,000.00"
"1202000",Державна інспекція України з питань захисту прав споживачів,40504800,40504800,26046500,1462800,,,,,,,"40,504,800.00"
"1202010",Керівництво та управління у сфері захисту прав споживачів,37927000,37927000,26046500,1462800,,,,,,,"37,927,000.00"
"1202060",Здійснення державного контролю за додержанням законодавства про захист прав споживачів,2577800,2577800,,,,,,,,,"2,577,800.00"
"1203000",Державне агентство резерву України,69159300,69159300,46276800,5722400,,338739000,74108900,11858500,10542500,264630100,"407,898,300.00"
"1203010",Керівництво та управління у сфері державного резерву,10079000,10079000,6748900,502400,,,,,,,"10,079,000.00"
"1203020",Обслуговування державного матеріального резерву,59080300,59080300,39527900,5220000,,76191000,71996900,11858500,10542500,4194100,"135,271,300.00"
"1203040",Накопичення (приріст) матеріальних цінностей державного матеріального резерву,,,,,,262548000,2112000,,,260436000,"262,548,000.00"
"1205000",Державна служба інтелектуальної власності України,8499700,6624700,4036800,583100,1875000,,,,,,"8,499,700.00"
"1205010",Керівництво у сфері інтелектуальної власності,8499700,6624700,4036800,583100,1875000,,,,,,"8,499,700.00"
"1206000",Державне агентство з енергоефективності та енергозбереження України,27311200,26917700,19115300,497800,393500,6000000,,,,6000000,"33,311,200.00"
"1206010",Керівництво та управління у сфері ефективного використання енергетичних ресурсів,26917700,26917700,19115300,497800,,,,,,,"26,917,700.00"
"1206020",Наукові та науково-технічні розробки за державними цільовими програмами і державним замовленням у сфері енергоефективності та енергозбереження,393500,,,,393500,,,,,,"393,500.00"
"1206040",Державна підтримка заходів з енергозбереження через механізм здешевлення кредитів,,,,,,6000000,,,,6000000,"6,000,000.00"
"1207000",Державна служба статистики України,579290500,572188700,392278500,25240000,7101800,84707800,25583500,2675000,9559800,59124300,"663,998,300.00"
"1207010",Керівництво та управління у сфері статистики,563219500,563219500,392278500,25240000,,25006900,21369000,2495900,9559800,3637900,"588,226,400.00"
"1207020",Статистичні спостереження та переписи,8683100,8683100,,,,,,,,,"8,683,100.00"
"1207030",Обстеження умов життя домогосподарств,5498300,,,,5498300,,,,,,"5,498,300.00"
"1207040","Прикладні розробки, підготовка наукових кадрів у сфері державної статистики",1603500,,,,1603500,,,,,,"1,603,500.00"
"1207600",Реформування державної статистики,286100,286100,,,,59700900,4214500,179100,,55486400,"59,987,000.00"
"1208000",Державна служба експортного контролю України,7901700,7119900,5051700,83000,781800,,,,,,"7,901,700.00"
"1208010",Керівництво та управління у сфері експортного контролю,7119900,7119900,5051700,83000,,,,,,,"7,119,900.00"
"1208020",Прикладні розробки у сфері розвитку експортного контролю,781800,,,,781800,,,,,,"781,800.00"
"1209000",Державна інспекція України з контролю за цінами,12791100,12791100,8932000,223100,,,,,,,"12,791,100.00"
"1209010",Керівництво та управління у сфері контролю за цінами,12791100,12791100,8932000,223100,,,,,,,"12,791,100.00"
"1210000",Міністерство економічного розвитку і торгівлі України (загальнодержавні витрати),56194000,25103000,13485700,2445400,31091000,,,,,,"56,194,000.00"
"1211000",Міністерство економічного розвитку і торгівлі України (загальнодержавні витрати),56194000,25103000,13485700,2445400,31091000,,,,,,"56,194,000.00"
"1211020",Субвенція з державного бюджету обласному бюджету Дніпропетровської області на створення регіонального центру надання адміністративних послуг ,30000000,,,,30000000,,,,,,"30,000,000.00"
"1211050",Мобілізаційна підготовка галузей національної економіки України,26194000,25103000,13485700,2445400,1091000,,,,,,"26,194,000.00"
"1400000",Міністерство закордонних справ України,1112197400,1099197400,86924300,45395200,13000000,8872100,8658000,5244500,1352200,214100,"1,121,069,500.00"
"1401000",Апарат Міністерства закордонних справ України,1112197400,1099197400,86924300,45395200,13000000,8872100,8658000,5244500,1352200,214100,"1,121,069,500.00"
"1401010",Керівництво та управління у сфері державної політики щодо зовнішніх відносин,76175400,76175400,49574700,3700800,,,,,,,"76,175,400.00"
"1401020","Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів",84250500,84250500,,,,,,,,,"84,250,500.00"
"1401030",Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ,895049400,885049400,32610900,41057000,10000000,7206400,7042300,4602000,1063200,164100,"902,255,800.00"
"1401050","Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України",4124900,4124900,,,,,,,,,"4,124,900.00"
"1401060",Забезпечення головування України у міжнародних інституціях,30643300,30643300,,275600,,,,,,,"30,643,300.00"
"1401100","Підготовка та підвищення кваліфікації кадрів для сфери міжнародних відносин, підвищення кваліфікації працівників дипломатичної служби, які віднесені до п'ятої-сьомої категорій державних службовців, проведення прикладних досліджень у галузі міжнародних відносин, зовнішньої політики та дипломатії",10250100,10250100,4738700,361800,,1665700,1615700,642500,289000,50000,"11,915,800.00"
"1401110","Фінансова підтримка забезпечення міжнародного позитивного іміджу України, заходи щодо підтримки зв'язків з українцями, які проживають за межами України",3203800,1203800,,,2000000,,,,,,"3,203,800.00"
"1401130",Документування громадян та створення і забезпечення функціонування інформаційно-телекомунікаційних систем консульської служби,8500000,7500000,,,1000000,,,,,,"8,500,000.00"
"1700000",Державний комітет телебачення і радіомовлення України,742576700,729222300,339216700,30783800,13354400,134570600,125313400,43393100,6925600,9257200,"877,147,300.00"
"1701000",Апарат Державного комітету телебачення і радіомовлення України,742576700,729222300,339216700,30783800,13354400,134570600,125313400,43393100,6925600,9257200,"877,147,300.00"
"1701010",Керівництво та управління у сфері телебачення і радіомовлення,18313700,18313700,12583500,646700,,200000,200000,,,,"18,513,700.00"
"1701020","Прикладні розробки у сфері засобів масової інформації, книговидавничої справи та інформаційно-бібліографічної діяльності, фінансова підтримка розвитку наукової інфраструктури",11354400,,,,11354400,1740000,,,,1740000,"13,094,400.00"
"1701040",Підвищення кваліфікації працівників засобів масової інформації в Укртелерадіопресінституті,3342900,3342900,2388100,66800,,980200,887500,306700,101800,92700,"4,323,100.00"
"1701050","Фінансова підтримка творчих спілок у сфері засобів масової інформації, преси, державних музичних колективів, здійснення інформаційно-культурної діяльності",15280900,13280900,968300,38400,2000000,7000,7000,,1500,,"15,287,900.00"
"1701080","Виробництво та трансляція телерадіопрограм для державних потреб, збирання, обробка та розповсюдження офіційної інформаційної продукції, створення та функціонування україномовної версії міжнародного каналу ""EuroNews""",654315800,654315800,323276800,30031900,,131643400,124218900,43086400,6822300,7424500,"785,959,200.00"
"1701110","Випуск книжкової продукції за програмою ""Українська книга""",37500000,37500000,,,,,,,,,"37,500,000.00"
"1701130","Державні стипендії видатним діячам інформаційної галузі, дітям журналістів, які загинули або стали інвалідами у зв'язку з виконанням службових обов'язків  та премії в інформаційній галузі",2169000,2169000,,,,,,,,,"2,169,000.00"
"1701170","Інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках та інших заходах",300000,300000,,,,,,,,,"300,000.00"
